Archduke,the Bastard,Archduchess,the Amazon,Adept,I
Archon,the Brotherly,Aunt,the Ample,Adjutant,II
Arci Dux,the Eunuch,Babu,the Beautiful,Adventurer,III
Baba,the Fallen Hero,Baroness,the Bitch,Advocate,IV
Baron,the Fancy Lad,Concubine,the Bitchy,Agent,IX
Bro,the Fatherly,Countess,the Black Widow,Aide,Junior
Brother,the Gigalo,Courtesan,the Bride,Air Keeper,of the Air
Caliph,the Groom,Dame,the Crone,Alpha,of the Dark
Count,the Handsome,Damsel,the Doll,Ambassador,of the Earth
Courtier,the Hero,Dancer,the Fallen Heroine,Apothecary,of the East
Daddy,the Hunk,Darling,the Fancy Lass,Archaeologist,of the Fire
Dude,the Hunky,Dutchess,the Flower,Archenemy,of the Ice
Duke,the Hunter,Empress,the Glamorous,Architect,of the Light
Dux,the Kid,Enchantress,the Hag,Artist,of the North
Emperor,the Lad,Gentlewoman,the Harlot,Assistant,of the South
Father,the Lion,Grand Duchess,the Heroine,Astrologer,of the West
Gentleman,the Macho,Grandmother,the Huntress,Attendant,Senior
Grand Duke,the Man,Great-Grandmother,the Lass,Bailiff,the Able
Grandfather,the Manly,Lady,the Lioness,Banker,the Absentminded
Great-Grandfather,the Old Hero,Madam,the Lovely,Big,the Abstract
Guy,the Rock,Maid,the Motherly,Blood Guard,the Absurd
Imperator,the Stone,Maiden,the Old Heroine,Boss,the Abusive
King,the Stud,Mama,the Perky,Bouncer,the Accommodating
King Regent,the Tiger,Marquise,the Pert,Brave,the Accurate
Mac,the Young Hero,Matriarch,the Pink,Brigadier,the Addicted
Magnus Dux,the Young Lad,Matron,the Pretty,Brigand,the Adventurous
Mak,,Miss,the Ravishing,Cadet,the Affectionate
Marquis,,Missus,the Rose,Cannoneer,the Aggressive
Master,,Mistress,the Sexy,Captain,the Airhead
Max,,Mother,the Sisterly,Captive,the Alcoholic
Mister,,Nanny,the Tigress,Captor,the Alert
Nobleman,,Noblewoman,the Vixen,Cartographer,the Alien
Old Man,,Old Lady,the Wench,Centurion,the Alive
Papa,,Princess,the White Widow,Chairman,the Aloof
Patriarch,,Princess Regent,the Whore,Champion,the Ambitious
Prince,,Prophetess,the Womanly,Chancellor,the Amiable
Prince Regent,,Queen,the Young Heroine,Chaperon,the Amputee
Proconsul,,Queen Regent,the Young Lass,Chef,the Analytical
Prophet,,Shieldmaiden,,Chief,the Angry
Rex,,Sister,,Clerk,the Annoyed
Sir,,Squiress,,Coach,the Annoying
Squire,,Valkyrie,,Coder,the Antisocial
Suitor,,Viscountess,,Collector,the Anxious
Uncle,,Widow,,Commander,the Apathetic
Viscount,,,,Conductor,the Argumentative
,,,,Conqueror,the Aristocratic
,,,,Consort,the Arrogant
,,,,Contender,the Articulate
,,,,Corporal,the Artistic
,,,,Counselor,the Ashamed
,,,,Craftsman,the Aspiring
